276,Mru,mru,mru,,40000,21.7748,92.2741,3
277,Patani Malay,patani,malais de patani,,40000,6.6482,100.0387,1
278,"Quechua of Cajatambo, Pasco and northern Junín","quechua de Cajatambo, de Paso y de Junín septentrional.",quehcua de Cajatambo Pasco et du Junín nord,,40000,-10.6147,-76.506,3
279,Quichua (Napo),quichua (Napo),quichua (Napo),,40000,-0.6371,-77.1459,2
280,Tangsa,tangsa,tangsa,,40000,27.4059,96.427,1
281,Tetserret,tetserret,tetserret,,40000,15.4907,6.2072,3
282,Awajun,aguaruna,awajun,,39000,-4.3464,-77.8271,1
283,Khiamngan,khiamngan,khiamngan,,38000,26.0518,95.1031,1
284,Ngile,taloca,ngile,,38000,10.7901,29.8635,3
285,Phunoi,phunoi,phunoi,,37311,21.6833,102.1,1
286,Lower Mixe,mixé bajo,bas mixe,,37000,16.9616,-95.093,1
287,Maram,maram,maram,,37000,25.185,93.9715,1
288,Western Mari,marí occidental,mari occidental,,36822,56.3317,46.5545,3
289,Chepang,chepang,chepang,,36807,27.7552,84.8144,1
290,Chontal Tabasco,chontal de Tabasco,chontal du Tabasco,,36514,17.7607,-92.5936,3
291,Muji,muyi,muji,,36500,23.6,102.7333,2
292,Akatek (Guatemala),canjobalés occidental (Guatemala),acatèque (Guatemala),,35763,15.5724,-91.4218,1
293,Huichol,huichol,huichol,,35724,22.65,-103.5833,1
294,Romansh,romanche,romanche,,35095,46.5777,9.6954,2
295,Apatani,apatani,apatani,,35000,27.5228,93.8177,1
296,Galo,adi-galo,gallong,,35000,28.1688,94.7433,1
297,Korwa,korwa,korwa,,35000,22.4922,84.1552,1
298,Shuar chicham,shuar chicham,shuar chicham,,35000,-2.8826,-78.0303,2
299,Ticuna,ticuna,tikuna,,35000,-4.3464,-70.0048,2
300,Wanka Quechua,quechua de Huanca,quechua wanka,,35000,-12.136,-75.2453,3
301,Sikuani,guahibo,sikuani,,34614,3.4256,-68.8183,1
302,Jakaltek (Guatemala),jacalteko (Guatemala),jacaltèque (Guatemala),,34038,15.6685,-91.7111,2
303,Liangmai,liangmai,Liangmai,,34000,25.2794,93.6694,1
304,Zeme,zeme,zemi,,34000,25.5027,93.5595,1
305,Highland Mazatec,mazateco de la sierra,mazatèque des hautes terres,,33859,18.1307,-96.8436,1
306,Thangmi,thangmi,thangmi,,33500,27.6969,86.0057,2
307,Nocte,nocte,nocte,,33000,27.1618,95.7952,1
308,Mayo,mayo,mayo,,32869,26.9114,-109.6271,4
309,Lauje,lauje,Lauje,,32000,-0.4531,119.9816,1
310,Danuwar,danvar,dhanwar,,31849,26.9661,86.3223,3
311,Sirmaudi,sirmauri,sirmauri,,31144,30.9823,77.1569,4
312,Abaza,abaza,abaza,,31000,44.1556,41.9368,2
313,Koch,koch,koch,,31000,25.7603,90.3955,2
314,Amis,ami,amis,,30000,23.4456,121.4483,1
315,Biak,biaco,biak,,30000,-0.3076,131.2207,1
316,Bumthang,kebumtamp,bumthangkha,,30000,27.492,90.7159,1
317,Burgenland Croatian,serbocroata de Burgenland,croate du Burgenland,,30000,47.8435,16.5179,2
318,Dzhidi,dzhidi,dzhidi,,30000,33.5139,48.0102,2
319,Judeo-Berber (Israel),judeo-bereber (Israel),judéo-berbère (Israël),,30000,31.6767,34.5684,3
320,Kham,jamí,kham,,30000,28.4321,82.9635,2
321,Ladin,ladino,ladin,,30000,46.5531,11.8597,2
322,Lepcha,lepcha,lepcha,,30000,27.1153,88.4687,2
323,Maonan,maonan,maonan,,30000,24.8341,107.577,1
324,"Mok (Myanmar, Thailand)","mok (Myanmar, Tailandia)","mok (Myanmar, Thaïlande)",,30000,21.7333,99.7666,2
325,Moro,moro,moro,,30000,10.8872,30.1904,2
326,Mulam,mulamo,mulam,,30000,24.6341,108.2895,1
327,North Saami,saamí septentrional,saami nord,davvisámegiella,30000,68.9099,22.9394,2
328,Quechua of Cajamarca,quechua de Cajamarca,quechua de Cajamarca,,30000,-7.1772,-78.673,3
329,Quichua (Pastaza),quichua (Pastaza),quichua (Pastaza),,30000,-1.7575,-76.8603,2
330,Rushani,rusaní,rushâni,,30000,37.8705,71.5979,2
